,goRt_stopStim,goRt_goStim,SSRT,signalRespondRT,pSignalRespond,pCorrectGo_all,pSignalRespond_omissionCorrected,pCorrectGo_stopStim,meanSSD,omissionRate
11,0.6089131567214167,0.6187187367015416,0.1743712557685092,0.5195069921777447,0.4351851851851852,1.0,0.43518518518518523,1.0,0.4472677133704722,0.0
14,0.7277019995228888,0.7270576226509408,0.17516418077383322,0.6418551400650232,0.5308641975308642,0.8055555555555556,0.39814814814814814,0.75,0.5760734500706112,0.25
15,0.7870609318768518,0.7595171983005344,0.1521494403299013,0.69228336960075,0.3950617283950617,0.8777777777777778,0.2962962962962963,0.75,0.6372847777824815,0.25
20,0.5394812311445712,0.5851111843966087,0.08241792803693515,0.46744880199427996,0.4761904761904762,0.9611111111111111,0.4629629629629629,0.9722222222222222,0.3850471774737315,0.027777777777777776
38,0.8192567569869642,0.8057734511115637,0.2272689197423453,0.7691132150045122,0.48809523809523814,0.7666666666666667,0.37962962962962965,0.7777777777777778,0.6437500008833333,0.2222222222222222
39,0.538974967267889,0.5266000284275634,0.2703204000434537,0.4508281491019636,0.5092592592592593,0.9888888888888889,0.5092592592592593,1.0,0.26094107936929634,0.0
51,0.6075156463517222,0.6170180414764085,0.1435052642113981,0.5350658098856459,0.4444444444444444,0.9888888888888889,0.4444444444444444,1.0,0.45003127168726853,0.0
52,0.6272781644549144,0.6103429430060555,0.21194035508701264,0.5091465173982941,0.4857142857142857,0.9944444444444445,0.4722222222222222,0.9722222222222222,0.3976584518394444,0.027777777777777776
54,0.46808387173536103,0.4465834647417014,0.23643083042526858,0.44224425598427775,0.5,1.0,0.5,1.0,0.20621913009223147,0.0
55,0.6117927961878331,0.5987617621819374,0.19692963361700927,0.54497305870054,0.46296296296296297,1.0,0.4629629629629629,1.0,0.40367582771534255,0.0
56,0.7102247946189395,0.6971093000787576,0.16453023611122475,0.6125151197960639,0.47474747474747475,0.9166666666666666,0.43518518518518523,0.9166666666666666,0.5399583688485833,0.08333333333333333
57,0.5595112868718001,0.5462508201598651,0.10590698012658567,0.4978434544688681,0.5047619047619047,0.9777777777777777,0.4907407407407407,0.9722222222222222,0.4116245419888333,0.027777777777777776
61,0.8453187261309285,0.8428063028949577,0.21651396013456103,0.751628154516275,0.47619047619047616,0.8111111111111111,0.37037037037037035,0.7777777777777778,0.6320321361222961,0.2222222222222222
62,0.7532531917095624,0.6398300844080368,0.1645227543733312,0.7121249396226899,0.6041666666666667,0.8444444444444444,0.2685185185185185,0.4444444444444444,0.6224515416004814,0.5555555555555556
63,0.6201331814129444,0.5707747538884167,0.13962083392635188,0.5421989888560816,0.4537037037037037,1.0,0.4537037037037037,1.0,0.49499247029969445,0.0
64,0.5158452855216389,0.48948739625359444,0.26996006568232406,0.42303930010112245,0.4537037037037037,0.9944444444444445,0.4537037037037037,1.0,0.22697916075039815,0.0
65,0.6557530706579999,0.5333840446872238,0.15899882653767083,0.534822141801973,0.5606060606060606,0.9166666666666666,0.34259259259259256,0.6111111111111112,0.5380371146731019,0.3888888888888889
66,0.5986155033112,0.643345138004857,0.1681569359287577,0.538440816807283,0.5047619047619047,0.9722222222222222,0.4907407407407407,0.9722222222222222,0.4328737612125185,0.027777777777777776
67,0.5848839150534999,0.5533303088612639,0.19274289519669457,0.51966732025144,0.46296296296296297,1.0,0.4629629629629629,1.0,0.40831619721884255,0.0
68,0.5536972681681388,0.5367522024446042,0.1915645113699907,0.45730914060882694,0.48148148148148145,1.0,0.4814814814814815,1.0,0.33739607863956483,0.0
72,0.5859983967196452,0.4861274840126691,0.1805815616960718,0.4735603481531041,0.5161290322580645,0.9611111111111111,0.4444444444444444,0.8611111111111112,0.4370558879993797,0.1388888888888889
74,0.5774935764425294,0.5734860897064578,0.2491947039802136,0.45842997083128295,0.5196078431372549,0.9777777777777777,0.4907407407407407,0.9444444444444444,0.3712464593074629,0.05555555555555555
75,0.558890160392353,0.5039337800099153,0.2533631242958982,0.42268325632268733,0.5392156862745099,0.9111111111111111,0.5092592592592593,0.9444444444444444,0.2641701499621018,0.05555555555555555
76,0.5725226197923429,0.5745445909634507,0.1339532365240424,0.4832217693328723,0.44761904761904764,0.9833333333333333,0.43518518518518523,0.9722222222222222,0.42129870697314814,0.027777777777777776
77,0.4797073933813055,0.48128433525562503,0.18897749980309253,0.4345401790407038,0.5,1.0,0.5,1.0,0.2785113851229074,0.0
78,0.6776497293919411,0.6640675385793037,0.14970538091550756,0.5753696560859166,0.47058823529411764,0.9388888888888889,0.4444444444444444,0.9444444444444444,0.526996038577963,0.05555555555555555
79,0.5812066992124723,0.5957160476181181,0.12813426388618515,0.5623213369019592,0.4537037037037037,1.0,0.4537037037037037,1.0,0.4398501184253056,0.0
80,0.6702895234612941,0.6340433824807266,0.22995244706067586,0.5735417093549796,0.4666666666666667,0.9,0.4537037037037037,0.9444444444444444,0.46674197470732404,0.027777777777777776
81,0.5843662311290688,0.5716856620350739,0.2219740679892379,0.4697341821632041,0.5632183908045977,0.8388888888888889,0.4537037037037037,0.8055555555555556,0.4254569411278426,0.19444444444444445
82,0.6303375297123333,0.6166746480124355,0.1638317748355464,0.524977718790375,0.4444444444444444,0.9777777777777777,0.4444444444444444,1.0,0.4462855281652314,0.0
83,0.7066233235020968,0.6845186948775878,0.14009343039638322,0.588644253901923,0.4193548387096774,0.8055555555555556,0.36111111111111116,0.8611111111111112,0.5640434026718426,0.1388888888888889
